"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 20:14:41 UTC 2024","Sun Jan 21 20:17:20 UTC 2024","159528","","Edit Dimension tests","","Edit Dimension tests","3D077508 | ME-309522 - 3D Author: Can't edit 2 of the 3 dimensions in the part file. Error is An origin object must be selected - This will cover Issue when we have 03 dimensions | Prajakta Patil","3D077508 | ME-309522 - 3D Author: Can't edit 2 of the 3 dimensions in the part file. Error is An origin object must be selected - This will cover Issue when we have 03 dimensions | Prajakta Patil",""
"passed","Sun Jan 21 20:31:50 UTC 2024","Sun Jan 21 20:33:22 UTC 2024","91942","","Place body tests","","Place body tests","3D130008 | User is able to select the origin point of the new CSYS from the graphic area while placing the part from the library. | Abhijeet Sabale","3D130008 | User is able to select the origin point of the new CSYS from the graphic area while placing the part from the library. | Abhijeet Sabale",""
"passed","Sun Jan 21 19:51:34 UTC 2024","Sun Jan 21 19:52:58 UTC 2024","84495","","Part Navigator Supress, Unsupress & Delete tests","","Part Navigator Supress, Unsupress & Delete tests","3D097007 | Verify if user unsuppress last feature then all above features / body should get unsuppressed. | Pratik Deshpande","3D097007 | Verify if user unsuppress last feature then all above features / body should get unsuppressed. | Pratik Deshpande",""
"broken","Sun Jan 21 20:42:51 UTC 2024","Sun Jan 21 20:45:33 UTC 2024","161988","","userPreference tests","","userPreference tests","3D150002 | Verify 'Default Unit' user preference is set to 'Millimeters' and 'Inches' when design is created from file uploaded project | Tanush Mane","3D150002 | Verify 'Default Unit' user preference is set to 'Millimeters' and 'Inches' when design is created from file uploaded project | Tanush Mane",""
"passed","Sun Jan 21 21:13:53 UTC 2024","Sun Jan 21 21:15:32 UTC 2024","99385","","File Apply Status tests","","File Apply Status tests","Z000001 | Verify applyStatus command CAD file | Lokesh Sonawane","Z000001 | Verify applyStatus command CAD file | Lokesh Sonawane",""
"broken","Sun Jan 21 20:07:34 UTC 2024","Sun Jan 21 20:10:30 UTC 2024","175345","","Create Dimension tests","","Create Dimension tests","3D075004 | 'Verify  place Horizontal dimensions using Auto method' | Snehal Atre","3D075004 | 'Verify  place Horizontal dimensions using Auto method' | Snehal Atre",""
"passed","Sun Jan 21 22:30:08 UTC 2024","Sun Jan 21 22:33:01 UTC 2024","172742","","Assembly constraints tests","","Assembly constraints tests","3DA030005 | Validate multiple Fix constraints back-to-back in one command session. | Prajakta Patil","3DA030005 | Validate multiple Fix constraints back-to-back in one command session. | Prajakta Patil",""
"passed","Sun Jan 21 22:23:42 UTC 2024","Sun Jan 21 22:25:48 UTC 2024","126359","","Assembly Delete command tests","","Assembly Delete command tests","3DA025003 | Validate the delete 1st level component selected via graphics area using delete command. | Prajakta Patil","3DA025003 | Validate the delete 1st level component selected via graphics area using delete command. | Prajakta Patil",""
"passed","Sun Jan 21 22:26:57 UTC 2024","Sun Jan 21 22:28:07 UTC 2024","69683","","Navigation to ZelX Pages PRT files","","Navigation to ZelX Pages PRT files","Z000244 | User able to navigate to Zel X Settings page without saving the edited XT file | Suba Gopalakrishnan","Z000244 | User able to navigate to Zel X Settings page without saving the edited XT file | Suba Gopalakrishnan",""
"passed","Sun Jan 21 21:12:33 UTC 2024","Sun Jan 21 21:14:10 UTC 2024","97261","","Last Save Setting tests","","Last Save Setting tests","3D145006 | Validate last saved settings for Shape Library and Check that Shape Library remains open after loading the page. | Prajakta Patil","3D145006 | Validate last saved settings for Shape Library and Check that Shape Library remains open after loading the page. | Prajakta Patil",""
