"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 18:07:24 MSK 2024","Tue Mar 19 18:07:24 MSK 2024","5","tests.allure_nose2.acceptance.allure_api.labels","test_bdd_labels","","","","test_func_label","
    >>> import allure

    >>> @allure.epic(""Label"", ""Bdd"")
    ... @allure.feature(""Function label"")
    ... def test_func_label_example():
    ...     pass
    "
"passed","Tue Mar 19 18:07:28 MSK 2024","Tue Mar 19 18:07:28 MSK 2024","24","tests.allure_pytest.acceptance.status","base_call_status_test","","","","test_broken","
    >>> def test_broken_example():
    ...     raise IndentationError()
    "
"passed","Tue Mar 19 18:07:26 MSK 2024","Tue Mar 19 18:07:26 MSK 2024","19","tests.allure_pytest.acceptance.fixture","fixture_test","","","","test_fixture_allure_title_before",""
"passed","Tue Mar 19 18:07:31 MSK 2024","Tue Mar 19 18:07:31 MSK 2024","13","tests.allure_robotframework.acceptance.allure_api.labels","labels_test","","","","test_builtin_label_from_robot_tag",""
"passed","Tue Mar 19 18:07:25 MSK 2024","Tue Mar 19 18:07:25 MSK 2024","19","tests.allure_pytest.acceptance.fixture","fixture_test","","","","test_fixture[class-function]",""
"passed","Tue Mar 19 18:07:27 MSK 2024","Tue Mar 19 18:07:27 MSK 2024","0","tests.allure_pytest.acceptance.label.bdd","dynamic_bdd_label_test","","","","test_multiple_dynamic_labels",""
"passed","Tue Mar 19 18:07:23 MSK 2024","Tue Mar 19 18:07:23 MSK 2024","0","tests.allure_behave.defects","issue717_test","","","","test_step_table_data_escaping[comma]",""
"passed","Tue Mar 19 18:07:26 MSK 2024","Tue Mar 19 18:07:26 MSK 2024","18","tests.allure_pytest.acceptance.fixture","fixture_test","","","","test_fixture_allure_title",""
"passed","Tue Mar 19 18:07:25 MSK 2024","Tue Mar 19 18:07:25 MSK 2024","19","tests.allure_pytest.acceptance.fixture","fixture_test","","","","test_fixture[session-function]",""
"passed","Tue Mar 19 18:07:23 MSK 2024","Tue Mar 19 18:07:23 MSK 2024","6","tests.allure_behave.acceptance.behave_support.scenario_outlines","scenario_outline_test","","","","test_multiple_outlines_each_with_one_table",""
"passed","Tue Mar 19 18:07:24 MSK 2024","Tue Mar 19 18:07:24 MSK 2024","21","tests.allure_pytest.acceptance.attachment","attachment_fixture_test","","","","test_fixture_attachment",""
"passed","Tue Mar 19 18:07:24 MSK 2024","Tue Mar 19 18:07:24 MSK 2024","21","tests.allure_pytest.acceptance.duration","duration_time_test","","","","test_duration[skip]",""
"passed","Tue Mar 19 18:07:26 MSK 2024","Tue Mar 19 18:07:26 MSK 2024","19","tests.allure_pytest.acceptance.fixture","yield_fixture_test","","","","test_yield_fixture","
    >>> import pytest

    >>> @pytest.fixture
    ... def yield_fixture():
    ...     yield

    >>> def test_yield_fixture_example(yield_fixture):
    ...     pass
    "
