"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 21 05:25:56 UTC 2024","Thu Mar 21 05:27:51 UTC 2024","114679","","Search Functionality in catalog test","","Search Functionality in catalog test","3DA020004 | Validate search result are correct and user is able to search multiple times without canceling earlier result | Kung Fu Pandas | ./test/specs/Assembly/3DA006_catalog/3DA006_01_searchFunctionality","3DA020004 | Validate search result are correct and user is able to search multiple times without canceling earlier result | Kung Fu Pandas | ./test/specs/Assembly/3DA006_catalog/3DA006_01_searchFunctionality",""
"passed","Thu Mar 21 05:14:02 UTC 2024","Thu Mar 21 05:15:38 UTC 2024","95438","","Kanban View for Project","","Kanban View for Project","Z015010 | Verify moveTo event in kanban view | Wunderkinder | ./test/specs/ZelX/Z003_ProjectPage/Z003_01_KanbanView","Z015010 | Verify moveTo event in kanban view | Wunderkinder | ./test/specs/ZelX/Z003_ProjectPage/Z003_01_KanbanView",""
"passed","Thu Mar 21 05:23:33 UTC 2024","Thu Mar 21 05:26:06 UTC 2024","153267","","Place Component tests","","Place Component tests","3DA015011 | Verify a file from the library can be placed as a component and a body, in the same assembly. | Kung Fu Pandas | ./test/specs/Assembly/3DA004_componentLibrary","3DA015011 | Verify a file from the library can be placed as a component and a body, in the same assembly. | Kung Fu Pandas | ./test/specs/Assembly/3DA004_componentLibrary",""
"passed","Thu Mar 21 04:37:55 UTC 2024","Thu Mar 21 04:40:24 UTC 2024","148646","","Place Library shape Tests","","Place Library shape Tests","3D110001 | Validate Block title and library under Blocks option is loaded for existing Design. | Vanguard | ./test/specs/3DAuthor/3D023_shapeLibrary","3D110001 | Validate Block title and library under Blocks option is loaded for existing Design. | Vanguard | ./test/specs/3DAuthor/3D023_shapeLibrary",""
"passed","Thu Mar 21 04:29:21 UTC 2024","Thu Mar 21 04:34:08 UTC 2024","287046","","Save command tests","","Save command tests","3D005006 | Preserve source file feature - save for stp/step file  | Spartans | ./test/specs/3DAuthor/3D002_Save/3D002_01_Save","3D005006 | Preserve source file feature - save for stp/step file  | Spartans | ./test/specs/3DAuthor/3D002_Save/3D002_01_Save",""
"passed","Thu Mar 21 05:12:03 UTC 2024","Thu Mar 21 05:14:12 UTC 2024","128772","","Design Revision Command","","Design Revision Command","Z000308 | Verify description of revised file is same as original file after revision file completed. | Simple Minds | ./test/specs/ZelX/Z001_ProjectDetailsPage/Z001_04_DesignRevision","Z000308 | Verify description of revised file is same as original file after revision file completed. | Simple Minds | ./test/specs/ZelX/Z001_ProjectDetailsPage/Z001_04_DesignRevision",""
"passed","Thu Mar 21 05:31:22 UTC 2024","Thu Mar 21 05:49:05 UTC 2024","1062655","","Catalog part placement in catalog test","","Catalog part placement in catalog test","3DA021008 | ME-357469 -Catalog option shown in navigation view can not be scrolled to last element . | Kung Fu Pandas | ./test/specs/Assembly/3DA006_catalog/3DA006_03_catalogPlacement","3DA021008 | ME-357469 -Catalog option shown in navigation view can not be scrolled to last element . | Kung Fu Pandas | ./test/specs/Assembly/3DA006_catalog/3DA006_03_catalogPlacement",""
"passed","Thu Mar 21 05:16:01 UTC 2024","Thu Mar 21 05:16:57 UTC 2024","56736","","RFQ test","","RFQ test","Z007001 | Validate create RFQ from request tab and Delete RFQ | Invincibles | ./test/specs/ZelX/Z007_Rfq","Z007001 | Validate create RFQ from request tab and Delete RFQ | Invincibles | ./test/specs/ZelX/Z007_Rfq",""
"passed","Thu Mar 21 05:07:11 UTC 2024","Thu Mar 21 05:09:28 UTC 2024","137129","","Identify top level assembly tests","","Identify top level assembly tests","Z000101 | Identify top level assembly in a project in zel-x | Simple Minds | ./test/specs/ZelX/Z001_ProjectDetailsPage/Z001_02_AssemblyOnPDP","Z000101 | Identify top level assembly in a project in zel-x | Simple Minds | ./test/specs/ZelX/Z001_ProjectDetailsPage/Z001_02_AssemblyOnPDP",""
"passed","Thu Mar 21 04:35:59 UTC 2024","Thu Mar 21 04:37:44 UTC 2024","105137","","Symmetric Command tests","","Symmetric Command tests","3D057933 | Valid Scenario - symmetric command | Y-Nots! | ./test/specs/3DAuthor/3D012_FacesCommands/3D012_03_Relate/3D012_03_04_Symmetric","3D057933 | Valid Scenario - symmetric command | Y-Nots! | ./test/specs/3DAuthor/3D012_FacesCommands/3D012_03_Relate/3D012_03_04_Symmetric",""
"passed","Thu Mar 21 05:23:15 UTC 2024","Thu Mar 21 05:26:54 UTC 2024","218250","","Assembly Save As command tests","","Assembly Save As command tests","3DA0012503 | Validate assembly save As when delete existing part from assembly. | Spartans | ./test/specs/Assembly/3DA003_Save/3DA003_02_saveAs","3DA0012503 | Validate assembly save As when delete existing part from assembly. | Spartans | ./test/specs/Assembly/3DA003_Save/3DA003_02_saveAs",""
"passed","Thu Mar 21 04:45:33 UTC 2024","Thu Mar 21 04:47:08 UTC 2024","95147","","create Flange command tests","","create Flange command tests","3DH002005 | Validate Multiedge flange creation | Gladiators | ./test/specs/Sheetmetal/3DH002_FlangeCommand/3DH002_01_CreateFlange","3DH002005 | Validate Multiedge flange creation | Gladiators | ./test/specs/Sheetmetal/3DH002_FlangeCommand/3DH002_01_CreateFlange",""
"passed","Thu Mar 21 05:19:38 UTC 2024","Thu Mar 21 05:21:25 UTC 2024","106549","","Assembly Create In Place Command tests","","Assembly Create In Place Command tests","3DA000002 | Validate the user is able to create a part with the valid file name in Assembly Mode & newly created part should be added in assembly Navigator. | Vanguard | ./test/specs/Assembly/3DA001_CreateInPlace","3DA000002 | Validate the user is able to create a part with the valid file name in Assembly Mode & newly created part should be added in assembly Navigator. | Vanguard | ./test/specs/Assembly/3DA001_CreateInPlace",""
"passed","Thu Mar 21 05:12:10 UTC 2024","Thu Mar 21 05:14:02 UTC 2024","111940","","Kanban View for Project","","Kanban View for Project","Z015009 | Verify delete event for kanban view. | Wunderkinder | ./test/specs/ZelX/Z003_ProjectPage/Z003_01_KanbanView","Z015009 | Verify delete event for kanban view. | Wunderkinder | ./test/specs/ZelX/Z003_ProjectPage/Z003_01_KanbanView",""
"passed","Thu Mar 21 05:16:55 UTC 2024","Thu Mar 21 05:18:56 UTC 2024","120732","","Shop Operations ","","Shop Operations ","Z020102 | User able to navigate to Shop Operations from 3D Author page | Simple Minds | ./test/specs/ZelX/Z006_ShopOperation","Z020102 | User able to navigate to Shop Operations from 3D Author page | Simple Minds | ./test/specs/ZelX/Z006_ShopOperation",""
"passed","Thu Mar 21 04:53:52 UTC 2024","Thu Mar 21 04:55:39 UTC 2024","107200","","Unite command tests","","Unite command tests","3D050003 | Perform Unite one target and multi tool | Decoders | ./test/specs/3DAuthor/3D011_BooleanCommands/3D011_01_Unite","3D050003 | Perform Unite one target and multi tool | Decoders | ./test/specs/3DAuthor/3D011_BooleanCommands/3D011_01_Unite",""
